,Manufacturer,Motor,Kv,Watts,Io,Rm,Mass
478,T-Motor,U8-110 LITE² (110),110,2140,0.9,0.105,282.0
479,T-Motor,U8-95 LITE² (95),95,1790,0.7,0.146,280.0
480,T-Motor,U3-700² (700),700,500,0.5,0.05,97.0
481,T-Motor,U5-400² (400),400,850,0.3,0.116,156.0
482,T-Motor,U7-V2.0-490² (490),490,1300,1.1,0.021,258.0
483,T-Motor,U7-V2.0-420² (420),420,1180,0.9,0.033,255.0
484,T-Motor,U7-V2.0-280² (280),280,900,0.4,0.066,255.0
485,T-Motor,U8II-190 ² (190),190,1045,1.3,0.048,277.0
486,T-Motor,U8II-150 ² (150),150,1270,1.0,0.085,273.0
487,T-Motor,U8II-100 ² (100),100,1405,0.7,0.17,272.0
488,T-Motor,U8II-85 ² (85),85,915,0.5,0.225,277.0
489,T-Motor,U8-170² (170),170,530,1.1,0.089,239.0
490,T-Motor,U8-170 PRO ² (170),170,520,0.9,0.081,239.0
491,T-Motor,U8-135 PRO ² (135),135,490,0.6,0.127,240.0
492,T-Motor,U8-100 PRO ² (100),100,490,0.5,0.179,240.0
493,T-Motor,U8-110 LITE L² (110),110,2140,0.9,0.105,282.0
494,T-Motor,U8-95 LITE L² (95),95,1790,0.7,0.146,280.0
495,T-Motor,U10II-100 ² (100),100,1600,1.0,0.101,415.0
496,T-Motor,U10-100² (100),100,1500,1.4,0.112,400.0
497,T-Motor,U10 -80² (80),80,1200,0.6,0.135,405.0
498,T-Motor,U10 Plus 170² (170),170,1700,1.9,0.021,500.0
499,T-Motor,U10 Plus 100² (100),100,1700,1.0,0.06,500.0
500,T-Motor,U10 Plus 80² (80),80,1500,0.8,0.085,500.0
501,T-Motor,U11II-120² (120),120,2785,1.5,0.08,772.0
502,T-Motor,U11-120² (120),120,4000,0.7,0.057,730.0
503,T-Motor,U11-90² (90),90,3000,0.7,0.099,730.0
504,T-Motor,U13II-130² (130),130,5660,1.5,0.018,990.0
505,T-Motor,U13II-65² (65),65,6720,1.7,0.073,975.0
506,T-Motor,U13-100² (100),100,3850,1.64,0.018,1280.0
507,T-Motor,U13-85² (85),85,3120,1.25,0.023,1280.0
508,T-Motor,U15II-100² (100),100,9940,4.5,0.012,1740.0
509,T-Motor,U15II-80² (80),80,8580,3.8,0.017,1740.0
510,T-Motor,U8-190 II² (190),190,1040,1.3,0.048,277.0
511,T-Motor,U8-150 II² (150),150,1200,1.0,0.085,273.0
512,T-Motor,U8-85 II² (85),85,960,0.5,0.225,277.0
513,T-Motor,U8-190 Lite² (190),190,1040,1.3,0.048,243.0
514,T-Motor,U8-150 Lite² (150),150,1200,1.0,0.085,243.0
515,T-Motor,U8-100 Lite² (100),100,1335,0.7,0.238,243.0
516,T-Motor,U8-85 Lite² (85),85,960,0.5,0.225,243.0
517,T-Motor,U8-170 Pro² (170),170,1300,1.1,0.089,239.0
518,T-Motor,U8-135 Pro² (135),135,940,1.0,0.137,239.0
519,T-Motor,U8-100 Pro² (100),100,750,0.6,0.186,240.0
520,T-Motor,U12II-120 ² (120),120,4560,3.5,0.022,778.0
521,T-Motor,U12-100² (100),100,2500,1.3,0.037,792.0
522,T-Motor,U12-90² (90),90,2500,1.2,0.047,794.0
523,T-Motor,U15-100² (100),100,7000,4.7,0.013,1640.0
524,T-Motor,U15-80² (80),80,7000,3.8,0.018,1640.0
525,T-Motor,MN7005-230² (230),230,700,0.9,0.071,188.0
526,T-Motor,MN7005-115² (115),115,750,0.4,0.288,188.0
527,T-Motor,MT2814-11 ² (710),710,440,0.4,0.125,120.0
528,T-Motor,MT2814-10² (770),770,500,0.5,0.1,120.0
529,T-Motor,MT2820-7²² (830),830,668,1.2,0.058,132.0
530,T-Motor,MT2826-5² (760),760,700,1.0,0.03,187.0
531,T-Motor,MT2826-8² (550),550,700,0.9,0.042,187.0
532,T-Motor,MT2826-10² (380),380,428,0.7,0.059,187.0
533,T-Motor,MT3515-9² (650),650,650,1.2,0.049,188.0
534,T-Motor,MT3515-15 ² (400),400,900,0.3,0.116,188.0
535,T-Motor,MT3520-11² (400),400,1140,1.2,0.032,188.0
536,T-Motor,MT3520-14² (300),300,990,1.0,0.107,188.0
537,T-Motor,MT4006-13 ² (740),740,500,0.5,0.136,92.0
538,T-Motor,MT4008-12² (600),600,450,0.5,0.132,108.0
539,T-Motor,MT13050-3² (75),75,12500,4.8,0.048,5200.0
540,T-Motor,MN3110-15² (780),780,470,0.4,0.071,80.0
541,T-Motor,MN3110-17² (700),700,470,0.3,0.092,80.0
542,T-Motor,MN3508-16² (700),700,510,0.5,0.072,82.0
543,T-Motor,MN3510-13² (700),700,555,0.5,0.05,97.0
544,T-Motor,MN3510-15² (630),630,495,0.5,0.065,97.0
545,T-Motor,MT2814-11² (710),710,440,0.4,0.125,120.0
546,T-Motor,U7-490² (490),490,1300,1.1,0.021,258.0
547,T-Motor,U7-420² (420),420,1180,0.9,0.033,255.0
548,T-Motor,U8-10² (170),170,1300,1.1,0.089,239.0
549,T-Motor,U8-13² (135),135,940,1.0,0.137,239.0
550,T-Motor,U8-16² (100),100,750,0.6,0.186,240.0
551,T-Motor,AS2820-7² (920),920,460,1.6,0.043,125.0
552,T-Motor,AT2820-830² (830),830,800,1.1,0.055,132.0
553,T-Motor,AT2826-900² (870),870,1000,1.6,0.034,167.0
554,T-Motor,AT2826-500² (550),550,880,0.7,0.045,169.0
555,T-Motor,AT3520-880² (880),880,1300,1.2,0.025,207.0
556,T-Motor,AT3520-730² (730),730,1200,0.8,0.032,206.0
557,T-Motor,AT3530-700² (700),700,1900,1.5,0.023,289.0
558,T-Motor,AT3530-570² (570),570,1800,0.9,0.028,289.0
559,T-Motor,AT4120-550² (550),550,2100,1.3,0.036,286.0
560,T-Motor,AT4130-275² (275),275,2800,0.5,0.045,387.0
561,T-Motor,AT5330-190² (190),190,4500,1.4,0.035,635.0
562,T-Motor,HT4025-7² (650),650,2850,1.8,0.026,361.0
563,T-Motor,HT4035-5² (560),560,4000,2.7,0.013,450.0
564,T-Motor,HT4035-5.5² (530),530,3440,2.5,0.016,450.0
565,T-Motor,HT4035-6² (510),510,3360,2.3,0.019,450.0
566,T-Motor,MT2820-7² (830),830,480,1.2,0.041,132.0
567,T-Motor,MT2820-8² (830),830,480,1.2,0.058,132.0
568,T-Motor,MT3515-15² (400),400,610,0.3,0.116,188.0
569,T-Motor,T2820 Pro² (830),830,1110,0.8,0.05,131.0
570,Turnigy,ACK-3510CP-630 (630),630,495,0.57,0.077,92.0
571,Turnigy,ACK-4008CP-620 (620),620,510,0.5,0.061,99.0
572,Turnigy,ACK-4010CP-580 (580),580,550,0.6,0.044,119.0
573,Turnigy,ACK-4012CP-480 (480),480,980,0.48,0.0699,152.0
574,Turnigy,ACK-5310CP-350 (350),350,910,0.49,0.079,216.0
575,Turnigy,ACK-4006CQ-550 (550),550,500,0.56,0.133,68.0
576,Turnigy,ACK-4012CQ-650 (650),650,800,1.2,0.053,126.0
577,Turnigy,ACK-4015CQ-480 (480),480,850,1.1,0.0366,140.0
578,Turnigy,AX-4008CQ-600 (600),600,550,0.7,0.084,82.0
579,Turnigy,AX-4008Q-620 (620),620,800,0.8,0.129,88.0
580,Turnigy,CA8080-10 (160),160,4000,6.4,0.0143,1440.0
581,Turnigy,CA12070-15 (150),150,6000,11.0,0.0048,2550.0
582,Turnigy,D3548-5 (900),900,770,2.2,0.036,159.0
583,Turnigy,D3548-6 (790),790,715,1.8,0.04,159.0
584,Turnigy,DT38-620 (620),620,1750,1.87,0.0327,365.0
585,Turnigy,L3040A-480G (480),480,1000,0.8,0.082,194.0
586,Turnigy,L5055A-700 (700),700,1600,3.0,0.018,296.0
587,Turnigy,L5055A-400 (400),400,1400,1.4,0.03,293.0
588,Turnigy,NTM PropDrive v2 3536-910 (910),910,910,1.4,0.043,121.0
589,Turnigy,NTM PropDrive v2 3548-900 (900),900,815,2.4,0.023,178.0
590,Turnigy,NTM PropDrive v2 4248-750 (750),750,785,2.5,0.029,231.0
591,Turnigy,NTM PropDrive v2 4248-650 (650),650,1295,2.1,0.033,231.0
592,Turnigy,NTM PropDrive v2 4258-500 (500),500,1300,1.6,0.028,300.0
593,Turnigy,NTM PropDrive v2 5050-580 (580),580,2000,2.5,0.014,331.0
594,Turnigy,NTM PropDrive v2 5060-380 (380),380,2665,2.0,0.022,438.0
595,Turnigy,NTM PropDrive v2 5060-270 (270),270,2400,1.3,0.036,438.0
596,Turnigy,RotoMax 1.20 (280),280,1920,1.55,0.027,622.0
597,Turnigy,RotoMax 1.40 (228),228,2770,1.25,0.029,715.0
598,Turnigy,RotoMax 1.60 (231),231,2960,1.47,0.028,849.0
599,Turnigy,RotoMax 50 (172),172,5300,1.65,0.021,1080.0
600,Turnigy,RotoMax 80 (195),195,6600,4.8,0.013,1916.0
601,Turnigy,RotoMax 100 (167),167,7990,4.5,0.021,2074.0
602,Turnigy,RotoMax 150 (150),150,9800,5.2,0.011,2530.0
603,Turnigy,RotorStar 2820-930 / RS380 (930),930,900,1.0,0.043,142.0
604,Turnigy,RotorStar 4956-800 / RS600 (800),800,3700,2.1,0.0145,375.0
605,Turnigy,RotorStar 4956-600 / RS600 (600),600,3400,1.95,0.0163,375.0
606,Turnigy,RotorStar 4956-550 / RS600 (550),550,3100,1.8,0.0186,395.0
607,Turnigy,RotorStar 4956-520 / RS600 (520),520,2900,1.6,0.0214,395.0
608,Turnigy,RotorStar 4962-530 / RS700 (530),530,3900,1.8,0.019,452.0
609,Turnigy,RotorStar 4962-500 / RS700 (500),500,3500,1.75,0.019,448.0
610,Turnigy,RotorStar 4962-480 / RS700 (480),480,3400,1.5,0.023,448.0
611,Turnigy,SK3-3542-800 (800),800,625,1.5,0.037,141.0
612,Turnigy,SK3-3548-840 (840),840,750,1.6,0.025,174.0
613,Turnigy,SK3-3548-700 (700),700,545,1.5,0.035,167.0
614,Turnigy,SK3-3850-960 GliderDrive (960),960,510,2.1,0.045,142.0
615,Turnigy,SK3-3858-840 GliderDrive (840),840,830,2.47,0.031,180.0
616,Turnigy,SK3-3994-850 FanDrive (850),850,3950,2.9,0.012,554.0
617,Turnigy,SK3-4240-740 (740),740,870,2.7,0.013,194.0
618,Turnigy,SK3-4240-620 (620),620,830,1.8,0.017,194.0
619,Turnigy,SK3-4240-530 (530),530,795,1.54,0.023,194.0
620,Turnigy,SK3-4250-500 (500),500,1350,1.8,0.018,269.0
621,Turnigy,SK3-4250-410 (410),410,1310,1.5,0.026,266.0
622,Turnigy,SK3-4250-350 (350),350,1190,1.3,0.033,266.0
623,Turnigy,SK3-4956-800 HeliDrive (800),800,3700,4.0,0.0145,375.0
624,Turnigy,SK3-5035-450 (450),450,1260,2.0,0.025,275.0
625,Turnigy,SK3-5045-660 (660),660,1450,3.0,0.014,280.0
626,Turnigy,SK3-5045-500 (500),500,1350,2.2,0.022,280.0
627,Turnigy,SK3-5045-450 (450),450,1250,1.8,0.025,275.0
628,Turnigy,SK3-5055-430 (430),430,1750,2.4,0.019,376.0
629,Turnigy,SK3-5055-320 (320),320,1630,1.8,0.027,376.0
630,Turnigy,SK3-5055-280 (280),280,1630,1.6,0.031,376.0
631,Turnigy,SK3-5065-320 (320),320,2220,2.5,0.014,531.0
632,Turnigy,SK3-5065-275 (275),275,2050,2.2,0.017,531.0
633,Turnigy,SK3-5065-236 (236),236,1850,1.85,0.019,531.0
634,Turnigy,SK3-6354-260 (260),260,2360,2.5,0.023,489.0
635,Turnigy,SK3-6364-245 (245),245,2700,3.5,0.018,720.0
636,Turnigy,SK3-6364-213 (213),213,2550,3.0,0.023,720.0
637,Turnigy,SK3-6364-190 (190),190,2450,2.5,0.028,720.0
638,Turnigy,SK3-6374-192 (192),192,2750,3.0,0.016,858.0
639,Turnigy,SK3-6374-149 (149),149,2250,2.0,0.021,840.0
640,Turnigy,SK3-6374-168 (168),168,2400,2.6,0.019,840.0
641,Turnigy,SK8-6354-140 (140),140,1850,0.7,0.098,630.0
642,Turnigy,SK8-6374-192 (192),192,4400,1.8,0.024,940.0
643,Turnigy,SK8-6374-149 (149),149,3500,1.3,0.043,937.0
644,Turnigy,SK8-6374-130 (130),130,2800,1.1,0.049,940.0
645,Turnigy,NTM3536-910² (910),910,520,1.4,0.0535,120.0
646,Turnigy,NTM3548-900² (900),900,780,2.4,0.071,175.0
647,Turnigy,NTM4258-500² (500),500,1300,1.6,0.144,319.0
648,Turnigy,C4240-900² (900),900,550,2.6,0.04,135.0
649,Turnigy,AX-2810Q-750² (750),750,440,0.82,0.095,70.0
650,Turnigy,SK3548-04² (900),900,835,2.9,0.035,171.0
651,Turnigy,SK3548-05² (790),790,850,2.1,0.048,171.0
652,Turnigy,SK4240-07² (850),850,800,1.0,0.028,155.0
653,Turnigy,SK4240-09² (750),750,820,0.8,0.035,155.0
654,Turnigy,SK4250-05² (950),950,980,1.9,0.024,230.0
655,Turnigy,SK4250-06² (650),650,1150,1.2,0.032,230.0
656,Turnigy,SK4260-04² (600),600,1350,1.8,0.014,295.0
657,Turnigy,SK4260-05² (500),500,1420,1.6,0.019,295.0
658,Turnigy,SK5045-07² (800),800,1210,1.6,0.017,230.0
659,Turnigy,SK5045-09² (600),600,1320,1.6,0.023,230.0
660,Turnigy,SK5055-04² (700),700,1450,1.6,0.016,330.0
661,Turnigy,SK5055-05² (580),580,1530,1.6,0.017,330.0
662,Turnigy,SK5055-07² (400),400,1560,1.6,0.027,330.0
663,Turnigy,SK5065-05² (410),410,1750,1.6,0.017,430.0
664,Turnigy,SK5065-06² (380),380,1820,1.6,0.024,430.0
665,Turnigy,SK5065-07² (320),320,1885,1.6,0.03,430.0
666,Turnigy,SK5065-08² (270),270,2100,1.6,0.038,430.0
667,Turnigy,SK6354-13² (250),250,2450,1.7,0.053,558.0
668,Turnigy,SK6354-15² (200),200,2590,1.7,0.068,558.0
669,Turnigy,SK6364-07² (270),270,2860,1.7,0.027,706.0
670,Turnigy,SK6364-09² (230),230,2950,1.7,0.04,706.0
671,Turnigy,SK6374-07² (200),200,3180,1.9,0.032,770.0
672,Turnigy,SK6374-09² (170),170,3250,1.9,0.05,770.0
673,Turnigy,TR3536-09² (910),910,550,1.2,0.075,110.0
674,Turnigy,TR3548-05² (900),900,770,1.5,0.04,170.0
675,Turnigy,TR3548-06² (790),790,790,1.3,0.054,170.0
676,Turnigy,TR4240-10² (890),890,590,2.6,0.04,140.0
677,Turnigy,TR4250-06² (800),800,980,3.5,0.027,210.0
678,Turnigy,TR4250-07² (600),600,1030,2.5,0.036,210.0
679,Turnigy,TR4260-05² (600),600,1300,4.7,0.017,280.0
680,Turnigy,TR4260-06² (500),500,1350,4.3,0.023,280.0
681,Turnigy,TR5045-08² (890),890,1080,2.6,0.021,210.0
682,Turnigy,TR5045-10² (720),720,1125,1.7,0.027,210.0
683,Turnigy,TR5055-05² (700),700,1350,2.6,0.017,310.0
684,Turnigy,TR5055-06² (580),580,1390,2.3,0.02,310.0
685,Turnigy,TR5055-08² (400),400,1450,1.6,0.031,310.0
686,Turnigy,TR5065-06² (410),410,1560,2.0,0.02,310.0
687,Turnigy,TR5065-07² (380),380,1605,2.0,0.027,310.0
688,Turnigy,TR5065-08² (320),320,1700,1.9,0.034,310.0
689,Turnigy,TR6354-14² (250),250,2100,1.5,0.059,480.0
690,Turnigy,TR6354-16² (200),200,2210,0.9,0.074,480.0
691,Turnigy,TR5065-09² (270),270,1820,1.5,0.042,310.0
692,Turnigy,TR6364-08² (270),270,2530,2.5,0.031,645.0
693,Turnigy,TR6364-10² (230),230,2600,1.5,0.045,645.0
694,Turnigy,TR6374-08² (200),200,2750,2.3,0.037,790.0
695,Turnigy,TR6374-10² (170),170,2910,1.4,0.056,790.0
696,Turnigy,TR8085-06² (250),250,5820,4.0,0.022,1400.0
697,Turnigy,TR8085-08² (170),170,6150,2.6,0.037,1400.0
698,Turnigy,TR80100-06² (180),180,6500,3.5,0.017,1750.0
699,Turnigy,TR80100-08² (130),130,7100,2.0,0.032,1750.0
700,Turnigy,TR42-50A² (700),700,700,3.4,0.0327,195.0
701,Turnigy,TR42-50B² (600),600,700,2.9,0.038,195.0
702,Turnigy,TR42-60C² (500),500,900,4.3,0.023,280.0
