design_id,status_ok,scenario_tag,error_msg,wing_span,wing_AR,wing_chord,dihedral,htail_span,htail_AR,htail_incidence,vtail_height,vtail_AR,tail_arm,nose_x,n_ducks,n_pucks,mass_kg,Sref,Cref,Bref,CG_x_m,CG_z_m,CG_pct,Ixx,Iyy,Izz,Ixz,Vht,Vvt,CL_cruise,alpha_deg,elevator_deg,CL,CDtot,CDi,span_eff_e,Xnp_m,SM_pct,CLa,Cma,CYb,Clb,Cnb,CLq,Cmq,CYp,CYr,Clp,Clr,Cnp,Cnr,spiral_ratio,ph_sigma,ph_omega,ph_t2,sp_sigma,sp_omega,sp_t2,dr_sigma,dr_omega,dr_t2,roll_sigma,roll_omega,roll_t2,spiral_sigma,spiral_omega,spiral_t2,flag_pitch_unstable,flag_low_SM,flag_high_SM,flag_high_trim,flag_directional_unstable,flag_weak_directional,flag_bad_dihedral_effect,flag_spiral_unstable,flag_dutch_unstable,flag_high_drag,flag_slow_or_heavy,badness_score,fixability_score
1,1,excessive_trim_required,,1.2,3,0.4,0,0.2,2.5,-2,0.1,1.5,0.5,-0.35,3,1,3.551534,0.48,0.4,1.2,-0.0162780043778266,-0.0092213674429134,-4.06950109445664,0.117343630216245,0.182068530823513,0.298371193940602,0.00715127035662618,0.0416666666666667,0.00578703703703704,0.162558665490888,-0.25235,-67.23726,0.16256,0.0296,0.0281636,NaN,0.090934,26.8030010944566,3.118398,-0.029245,-0.024347,-0.001225,0.010221,3.658086,-0.950283,-0.002693,0.022219,-0.272719,0.061841,-0.004404,-0.012091,0.02343302834495,0.0171532531242427,0.464685574686567,40.409080163361,-1.30065127629962,0,9999,-0.192314946842262,3.01090472503129,9999,-557.553966454878,0,9999,0.0797245475257969,0,8.69427550323394,0,0,1,1,0,1,0,1,0,0,0,5.5,4
2,1,excessive_trim_required,,1.2,3,0.4,0,0.2,2.5,-2,0.1,1.5,0.5,-0.2,3,1,3.494984,0.48,0.4,1.2,0.0483561195129935,-0.0093705722257956,12.0890298782484,0.117338743759605,0.0924381792045302,0.208745728778258,0.00502116291405054,0.0416666666666667,0.00578703703703704,0.159970293104896,-0.30031,-67.22155,0.15997,0.02951,0.0280909,NaN,0.090906,10.6374701217516,3.11869,-0.029028,-0.024347,-0.001234,0.01022,3.658408,-0.950215,-0.002712,0.022217,-0.272766,0.061288,-0.0043,-0.012046,0.0237318543025888,0.0159394988206857,0.461643720008164,43.486133934174,-1.28771860331786,0,9999,-0.191559184014416,3.0106726196464,9999,-558.130001090154,0,9999,0.0789754095945544,0,8.77674689018314,0,0,0,1,0,1,0,1,0,0,0,4.5,3.75
3,1,low_static_margin,,1.2,3,0.4,0,0.2,2.5,-2,0.1,1.5,0.5,-0.05,3,1,3.438434,0.48,0.4,1.2,0.112649279875664,-0.00952468478382892,28.1623199689161,0.11733369657333,0.0368610248527782,0.153173621612782,0.00287988891592801,0.0416666666666667,0.00578703703703704,0.157381920718905,-0.34824,-67.20596,0.15738,0.02942,0.0280197,NaN,0.090877,-5.44306996891609,3.118976,-0.02881,-0.024347,-0.001243,0.010219,3.658726,-0.950145,-0.002731,0.022215,-0.272812,0.060735,-0.004197,-0.012001,0.0240348341358013,0.0146641580943411,0.458526781661174,47.268119731158,-1.27506572977526,0,9999,-0.190818216807111,3.01036972581956,9999,-558.361327699787,0,9999,0.0782267489398085,0,8.86074379868818,0,1,0,1,0,1,0,1,0,0,0,6.5,5
4,1,pitch_unstable_aft_or_weak_tail,,1.2,3,0.4,0,0.2,2.5,-2,0.1,1.5,0.65,-0.35,3,1,3.640334,0.48,0.4,1.2,-0.00878896991320025,-0.0089964272509061,-2.19724247830006,0.117350997007533,0.198647605236666,0.314942901562467,0.00739653623534269,0.0541666666666667,0.00752314814814815,0.166623165364911,-0.77673,-48.70472,0.16662,0.01815,0.017327,NaN,0.091326,25.0287424783001,3.134913,0.069579,-0.025198,-0.00158,0.013452,3.510922,-1.009206,-0.003078,0.028701,-0.273239,0.057732,-0.003537,-0.017546,0.0356970025595727,0.377520750406808,0,1.83605054771963,-4.26683680623511,1.62556974874754,9999,-0.211486291365475,3.17256961537134,9999,-539.38005740885,0,9999,0.0733422635547261,0,9.45085612257845,1,0,1,1,0,1,0,1,0,0,0,8.5,6.25
5,1,pitch_unstable_aft_or_weak_tail,,1.2,3,0.4,0,0.2,2.5,-2,0.1,1.5,0.65,-0.2,3,1,3.583784,0.48,0.4,1.2,0.0555452599821864,-0.00913838557234476,13.8863149955466,0.117346347872506,0.106003194883913,0.22230314034474,0.00525660726441661,0.0541666666666667,0.00752314814814815,0.16403479297892,-0.82335,-48.73465,0.16404,0.01809,0.0172723,NaN,0.091299,8.93843500445339,3.135165,0.069794,-0.025196,-0.001591,0.01345,3.511218,-1.009144,-0.003101,0.028696,-0.27328,0.057197,-0.003432,-0.017504,0.03620028164578,0.372774019518398,0,1.85942996095986,-4.32347040846125,1.67762529968525,9999,-0.210913042127634,3.17239843108239,9999,-540.351242849194,0,9999,0.0726147320045141,0,9.5455448422898,1,0,0,1,0,1,0,1,0,0,0,7.5,6
6,1,pitch_unstable_aft_or_weak_tail,,1.2,3,0.4,0,0.2,2.5,-2,0.1,1.5,0.65,-0.05,3,1,3.527234,0.48,0.4,1.2,0.11953749425187,-0.00928489575684517,29.8843735629675,0.117341549663963,0.0477090753284777,0.164013818997848,0.00310547793674874,0.0541666666666667,0.00752314814814815,0.161446420592929,-0.86999,-48.76467,0.16145,0.01802,0.0172192,NaN,0.091272,-7.06637356296747,3.13541,0.070009,-0.025193,-0.001602,0.013447,3.511511,-1.009082,-0.003124,0.028691,-0.27332,0.056661,-0.003327,-0.017462,0.0367152809402087,0.367995958347623,0,1.88357280789799,-4.38168847580852,1.72806423899076,9999,-0.210347852461928,3.17203929185111,9999,-541.045867326296,0,9999,0.0718860732387946,0,9.64230134336891,1,1,0,1,0,1,0,1,0,0,0,9.5,7.25
7,1,pitch_unstable_aft_or_weak_tail,,1.2,3,0.4,0,0.2,2.5,-2,0.1,1.5,0.8,-0.35,3,1,3.729134,0.48,0.4,1.2,-0.000359382634145054,-0.00878219983513599,-0.0898456585362635,0.117358012955399,0.221321629956491,0.337609910334425,0.00767260521873175,0.0666666666666667,0.00925925925925926,0.170687665238935,-1.03189,-36.08009,0.17069,0.01234,0.0117628,NaN,0.09197,23.0823456585363,3.143993,0.167057,-0.025797,-0.001791,0.016715,3.370039,-1.133359,-0.00339,0.035243,-0.273487,0.055921,-0.002749,-0.024808,0.047534182486818,0.507069244180781,0,1.36696750693249,-4.13708203304636,2.94819136911743,9999,-0.234495759153643,3.23846332355341,9999,-519.46534488362,0,9999,0.0701005014123537,0,9.88790617177801,1,0,0,1,0,1,0,1,0,0,0,7.5,6
8,1,pitch_unstable_aft_or_weak_tail,,1.2,3,0.4,0,0.2,2.5,-2,0.1,1.5,0.8,-0.2,3,1,3.672584,0.48,0.4,1.2,0.063703938153627,-0.00891742707586811,15.9259845384067,0.117353584263265,0.125079789114334,0.241372498184402,0.00552380397453129,0.0666666666666667,0.00925925925925926,0.168099292852944,-1.0778,-36.13937,0.1681,0.01228,0.01171,NaN,0.091944,7.06001546159325,3.144234,0.167272,-0.025793,-0.001804,0.016711,3.370323,-1.133301,-0.003418,0.035236,-0.273525,0.055399,-0.002639,-0.024766,0.0482600799644026,0.49945628162709,0,1.38780350965226,-4.1926598077429,3.03680288305451,9999,-0.234033400492851,3.23829684002695,9999,-520.707759902611,0,9999,0.069383977888443,0,9.9900178925227,1,0,0,1,0,1,0,1,0,0,0,7.5,6
9,1,pitch_unstable_aft_or_weak_tail,,1.2,3,0.4,0,0.2,2.5,-2,0.1,1.5,0.8,-0.05,3,1,3.616034,0.48,0.4,1.2,0.127425188479976,-0.00905688386779549,31.8562971199939,0.11734901705333,0.0634865380984092,0.179783814378413,0.0033637999227192,0.0666666666666667,0.00925925925925926,0.165510920466952,-1.12369,-36.19871,0.16551,0.01222,0.0116588,NaN,0.091919,-8.8765471199939,3.144469,0.167487,-0.02579,-0.001817,0.016707,3.370604,-1.133242,-0.003446,0.035228,-0.273563,0.054877,-0.00253,-0.024724,0.048998730505164,0.491901960404789,0,1.40911652392999,-4.24956113605102,3.12458780903686,9999,-0.233582061007814,3.23806452284656,9999,-521.735730910635,0,9999,0.0686676139808713,0,10.0942371574617,1,1,0,1,0,1,0,1,0,0,0,9.5,7.25
10,1,pitch_unstable_aft_or_weak_tail,,1.2,3,0.4,0,0.2,2.5,-2,0.1,1.5,0.95,-0.35,3,1,3.817934,0.48,0.4,1.2,0.00894512948626144,-0.00857793770138509,2.23628237156536,0.11736470254028,0.250972477088013,0.367254067881066,0.00797732799067506,0.0791666666666667,0.0109953703703704,0.174752165112959,-1.17108,-27.06108,0.17475,0.00916,0.0087086,NaN,0.092702,20.9392176284346,3.149356,0.264094,-0.026231,-0.001945,0.019989,3.231621,-1.320435,-0.003658,0.041805,-0.27363,0.055201,-0.00201,-0.033696,0.0593963751855698,0.58705817955104,0,1.18071292540381,-4.03367301460756,3.12378293306002,9999,-0.256126357422708,3.24426217925543,9999,-500.692963113515,0,9999,0.0682765424787501,0,10.1520545035753,1,0,0,1,0,1,0,1,0,0,0,7.5,6
