design_id,status_ok,scenario_tag,error_msg,wing_span,wing_AR,wing_chord,dihedral,htail_span,htail_AR,htail_incidence,vtail_height,vtail_AR,tail_arm,nose_x,n_ducks,n_pucks,mass_kg,Sref,Cref,Bref,CG_x_m,CG_z_m,CG_pct,Ixx,Iyy,Izz,Ixz,Vht,Vvt,CL_cruise,alpha_deg,elevator_deg,CL,CDtot,CDi,span_eff_e,Xnp_m,SM_pct,CLa,Cma,CYb,Clb,Cnb,CLq,Cmq,CYp,CYr,Clp,Clr,Cnp,Cnr,spiral_ratio,ph_sigma,ph_omega,ph_t2,sp_sigma,sp_omega,sp_t2,dr_sigma,dr_omega,dr_t2,roll_sigma,roll_omega,roll_t2,spiral_sigma,spiral_omega,spiral_t2,flag_pitch_unstable,flag_low_SM,flag_high_SM,flag_high_trim,flag_directional_unstable,flag_weak_directional,flag_bad_dihedral_effect,flag_spiral_unstable,flag_dutch_unstable,flag_high_drag,flag_slow_or_heavy,badness_score,fixability_score
11,1,pitch_unstable_aft_or_weak_tail,,1.2,3,0.4,4,0.25,2.5,-4,0.12,1.5,0.85,-0.14,3,1,3.6937174,0.48,0.4,1.2,0.0958085021339207,-0.00886640650960466,23.9521255334802,0.11745857518681,0.115602643180401,0.231988985113591,0.0048764784448859,0.110677083333333,0.0141666666666667,0.169066598051566,-1.15809,-14.76895,0.16907,0.00802,0.0077532,NaN,0.095471,-0.0843755334801778,3.165711,0.177255,-0.046667,-0.035058,0.025227,3.491158,-1.580517,-0.069779,0.070376,-0.279355,0.068071,-0.003358,-0.042028,0.858021405214043,0.468500030894706,0,1.47950295592558,-4.47587489102499,3.45574948871406,9999,-0.174731186496075,4.12988616407946,9999,-524.1945238539,0,9999,0.0109120771613497,0,63.5211032978263,1,1,0,0,0,0,0,1,0,0,0,7,6.25
12,1,pitch_unstable_aft_or_weak_tail,,1.2,3,0.4,4,0.25,2.5,-4,0.12,1.5,0.85,-0.08,3,1,3.6710974,0.48,0.4,1.2,0.121158725290154,-0.00892103816150451,30.2896813225386,0.117456786000211,0.0911799594641191,0.207568090583908,0.00400794825325256,0.110677083333333,0.0141666666666667,0.16803124909717,-1.17634,-14.78412,0.16803,0.00799,0.0077268,NaN,0.095454,-6.4261813225386,3.165769,0.177396,-0.046665,-0.035066,0.025229,3.491326,-1.580468,-0.0698,0.070322,-0.279373,0.067865,-0.00331,-0.042008,0.860344414543172,0.465972013095587,0,1.48752963929135,-4.49791432387147,3.49013543916432,9999,-0.174596408657289,4.1297219378592,9999,-524.66470345188,0,9999,0.0107026190736346,0,64.7642577756951,1,1,0,0,0,0,0,1,0,0,0,7,6.25
13,1,excessive_trim_required,,1.2,3,0.4,4,0.25,2.5,-4,0.16,1.5,0.55,-0.26,3,1,3.5713926,0.48,0.4,1.2,0.0295397598684614,-0.00917009236117026,7.38493996711535,0.117448629475172,0.139487563370863,0.255850400349024,0.00610367713569211,0.0716145833333334,0.0162962962962963,0.163467621315193,-0.51196,-32.32863,0.16347,0.0167,0.0160192,NaN,0.093032,15.8730600328846,3.148726,-0.005047,-0.074854,-0.037495,0.029769,3.690114,-1.098008,-0.074226,0.085273,-0.279176,0.076868,-0.001711,-0.03677,0.602500151235632,-0.0476441555636162,0.150045358313645,9999,-2.01715636803399,0,9999,-0.229609005460171,5.1909006608694,9999,-561.567506913139,0,9999,0.036320177197168,0,19.0843556956543,0,0,0,1,0,0,0,1,0,0,0,3.5,3.5
14,1,excessive_trim_required,,1.2,3,0.4,4,0.25,2.5,-4,0.16,1.5,0.55,-0.2,3,1,3.5487726,0.48,0.4,1.2,0.0551501749647188,-0.00922854284887118,13.7875437411797,0.117446715221699,0.106517986364501,0.222882737596135,0.00524366823009454,0.0716145833333334,0.0162962962962963,0.162432272360796,-0.53084,-32.328,0.16243,0.01667,0.0159907,NaN,0.093014,9.4659562588203,3.148795,-0.004904,-0.074854,-0.037505,0.029771,3.690295,-1.097964,-0.074253,0.085217,-0.279199,0.076655,-0.001663,-0.036746,0.603900417414735,-0.0479664021298759,0.146991334065888,9999,-2.02012056864721,0,9999,-0.229545501974199,5.19055626215556,9999,-561.884328956372,0,9999,0.0360959639900139,0,19.2028998242492,0,0,0,1,0,0,0,1,0,0,0,3.5,3.5
15,1,low_static_margin,,1.2,3,0.4,4,0.25,2.5,-4,0.16,1.5,0.55,-0.14,3,1,3.5261526,0.48,0.4,1.2,0.0807042723562219,-0.00928774324741363,20.1760680890555,0.117444776408647,0.0790488171501049,0.195415507194791,0.00438181491966627,0.0716145833333334,0.0162962962962963,0.1613969234064,-0.54969,-32.32739,0.1614,0.01664,0.0159624,NaN,0.092996,3.07293191094452,3.148863,-0.004761,-0.074853,-0.037515,0.029773,3.690476,-1.09792,-0.07428,0.08516,-0.279222,0.076441,-0.001615,-0.036723,0.605332715448983,-0.048288398831089,0.143910045322932,9999,-2.02316611866967,0,9999,-0.229498904963397,5.19019287586125,9999,-562.151773734866,0,9999,0.03586900427883,0,19.3244054162118,0,1,0,1,0,0,0,1,0,0,0,5.5,4.75
16,1,low_static_margin,,1.2,3,0.4,4,0.25,2.5,-4,0.16,1.5,0.55,-0.08,3,1,3.5035326,0.48,0.4,1.2,0.106200961224109,-0.00934770808183717,26.5502403060271,0.11744281256032,0.0570773723842734,0.173446026277287,0.00351808148008955,0.0716145833333334,0.0162962962962963,0.160361574452003,-0.56855,-32.32679,0.16036,0.01661,0.0159344,NaN,0.092977,-3.30599030602713,3.14893,-0.004618,-0.074852,-0.037525,0.029775,3.690657,-1.097875,-0.074308,0.085104,-0.279246,0.076228,-0.001567,-0.036699,0.606748394614645,-0.0486064012287364,0.14079098074166,9999,-2.02628901819692,0,9999,-0.2294556156761,5.18981050533903,9999,-562.36945094939,0,9999,0.0356445592961264,0,19.446086422375,0,1,0,1,0,0,0,1,0,0,0,5.5,4.75
17,1,pitch_unstable_aft_or_weak_tail,,1.2,3,0.4,4,0.25,2.5,-4,0.16,1.5,0.7,-0.26,3,1,3.6601926,0.48,0.4,1.2,0.0380588837866073,-0.00894761658170666,9.51472094665183,0.117455915556949,0.161294083117629,0.277649634014013,0.00638267844401139,0.0911458333333333,0.0207407407407407,0.167532121189216,-0.91024,-21.84931,0.16753,0.01097,0.0105981,NaN,0.094151,14.0230290533482,3.159351,0.088945,-0.076034,-0.038229,0.037925,3.5832,-1.29073,-0.075249,0.100781,-0.279768,0.074638,-0.000418,-0.053447,0.721822953038479,0.390365724564926,0,1.77563535152191,-4.45917627559581,2.38753100321788,9999,-0.316691330981197,5.34034918920601,9999,-542.436879636203,0,9999,0.0248900054966096,0,27.8484141216587,1,0,0,1,0,0,0,1,0,0,0,6.5,5.75
18,1,pitch_unstable_aft_or_weak_tail,,1.2,3,0.4,4,0.25,2.5,-4,0.16,1.5,0.7,-0.2,3,1,3.6375726,0.48,0.4,1.2,0.0635634584447882,-0.00900325673225051,15.890864611197,0.117454093342019,0.126895133412424,0.243252506523739,0.00551920326406681,0.0911458333333333,0.0207407407407407,0.16649677223482,-0.9287,-21.85842,0.1665,0.01095,0.0105719,NaN,0.094133,7.64238538880296,3.159412,0.089086,-0.076032,-0.038242,0.037927,3.583373,-1.290686,-0.07528,0.100724,-0.27979,0.074434,-0.000366,-0.053424,0.723697627843337,0.388586429526525,0,1.78376579286239,-4.48136525845176,2.41185226456804,9999,-0.316653231310572,5.34013324319581,9999,-542.894057478802,0,9999,0.0246568770127372,0,28.1117182927051,1,0,0,1,0,0,0,1,0,0,0,6.5,5.75
19,1,pitch_unstable_aft_or_weak_tail,,1.2,3,0.4,4,0.25,2.5,-4,0.16,1.5,0.7,-0.14,3,1,3.6149526,0.48,0.4,1.2,0.0890117742622683,-0.00905959320185831,22.2529435655671,0.117452248322639,0.0980442943337532,0.214403512464447,0.00465388560708929,0.0911458333333333,0.0207407407407407,0.165461423280423,-0.94717,-21.86757,0.16546,0.01092,0.0105459,NaN,0.094115,1.27580643443292,3.159473,0.089228,-0.07603,-0.038254,0.037928,3.583546,-1.290641,-0.075311,0.100667,-0.279812,0.07423,-0.000313,-0.0534,0.725568980817842,0.386795150738845,0,1.79202655264916,-4.50380345463473,2.43610950577101,9999,-0.316619500448253,5.33982137808694,9999,-543.311954796952,0,9999,0.0244249852783551,0,28.3786120098175,1,1,0,1,0,0,0,1,0,0,0,8.5,7
20,1,pitch_unstable_aft_or_weak_tail,,1.2,3,0.4,4,0.25,2.5,-4,0.16,1.5,0.7,-0.08,3,1,3.5923326,0.48,0.4,1.2,0.114402768496436,-0.00911663914415943,28.600692124109,0.117450380068029,0.0747387534082577,0.191099839793562,0.00378669066825828,0.0911458333333333,0.0207407407407407,0.164426074326027,-0.96563,-21.87671,0.16443,0.01089,0.0105201,NaN,0.094098,-5.076192124109,3.159532,0.089369,-0.076028,-0.038266,0.037929,3.583718,-1.290597,-0.075342,0.10061,-0.279834,0.074026,-0.000261,-0.053376,0.727450448964727,0.385010315049454,0,1.80033405201342,-4.52648839839788,2.46025756235396,9999,-0.316596216074212,5.33949957452721,9999,-543.689031047775,0,9999,0.0241929740172242,0,28.650763650077,1,1,0,1,0,0,0,1,0,0,0,8.5,7
